"","Original","Mean.Boot","Std.Error","perc.025","perc.975"
"Patch -> Plant.div",0.293031013828634,0.308859161962415,0.210384043224307,-0.305999091814809,0.613942187545171
"Patch -> AGprod",0.379782522583929,0.366472210722175,0.28431761254613,-0.376770636889939,0.768046044059494
"soil -> Plant.div",0.555229961613767,0.504653975063681,0.260614686896047,-0.463464297208762,0.828754523987728
"Plant.div -> AGprod",0.486997124737239,0.482237181832359,0.17039680824516,0.159247917146938,0.827384356559122
