"","relationships","direct","indirect","total"
"1","Patch -> soil",0,0,0
"2","Patch -> Plant.div",0.293031013828634,0,0.293031013828634
"3","Patch -> AGprod",0.379782522583929,0.142705261193383,0.522487783777312
"4","soil -> Plant.div",0.555229961613767,0,0.555229961613767
"5","soil -> AGprod",0,0.270395394873872,0.270395394873872
"6","Plant.div -> AGprod",0.486997124737239,0,0.486997124737239
