"","Original","Mean.Boot","Std.Error","perc.025","perc.975"
"urban.matrix -> Decomp_Div",-0.172455562710023,-0.128418229203782,0.240944812321516,-0.462378797410995,0.507543288892132
"urban.matrix -> Decomposition.rate",0.519764611104291,0.509544017421686,0.207557819905864,0.0264845849433377,0.847799233291071
"Soil -> Decomp_Div",0.641319454302224,0.632463230390723,0.241830013659094,-0.455221542744677,0.862024084325767
"Decomp_Div -> Decomposition.rate",0.681295201135589,0.706674733564303,0.217660374199183,0.364419277855509,0.997144171336831
