"","Original","Mean.Boot","Std.Error","perc.025","perc.975"
"urban.matrix -> BGprod",-0.40526023443053,-0.431270951972354,0.163687541430925,-0.736037974253849,-0.14233927307675
"soil -> Plant.div",0.678748491546559,0.673059396300132,0.192360851782713,0.393665882898226,0.863523672267389
"soil -> BGprod",-0.0810273644147905,-0.104216611447479,0.285971660578065,-0.686571016575496,0.385093814880514
"Plant.div -> BGprod",0.583775795850099,0.599306939034918,0.217106234661188,0.180726630239806,1.00629508152547
